name,latitude_deg,longitude_deg,iso_country
Denpasar I Gusti Ngurah Rai International Airport,-8.748409,115.167123,Indonesia
Dortheys Hiyo Eluay International Airport,-2.579627,140.519857,Indonesia
Sultan Aji Muhammad Sulaiman Sepinggan International Airport,-1.268342,116.89452,Indonesia
Juanda International Airport,-7.37983,112.787003,Indonesia
Brunei International Airport,4.9442,114.928001,Brunei
Soekarno-Hatta International Airport,-6.12557,106.655998,Indonesia
Kualanamu International Airport,3.637847,98.870566,Indonesia
Kuala Lumpur International Airport,2.74558,101.709999,Malaysia
Singapore Changi Airport,1.35019,103.994003,Singapore
Brisbane International Airport,-27.38419914245605,153.11700439453125,Australia
Melbourne Airport,-37.661548,144.836432,Australia
Adelaide International Airport,-34.947512,138.533393,Australia
Darwin International Airport / RAAF Darwin,-12.41497,130.88185,Australia
Perth International Airport,-31.94029998779297,115.96700286865234,Australia
Sydney Kingsford Smith International Airport,-33.946098,151.177002,Australia
Beijing Capital International Airport,40.0801010131836,116.58499908447266,China
Beijing Daxing International Airport,39.509945,116.41092,China
Hohhot Baita International Airport,40.849658,111.824598,China
Tianjin Binhai International Airport,39.1244010925,117.346000671,China
Taiyuan Wusu International Airport,37.746899,112.627998,China
Guangzhou Baiyun International Airport,23.392401,113.299004,China
Changsha Huanghua International Airport,28.189199,113.220001,China
Guilin Liangjiang International Airport,25.219828,110.039553,China
Nanning Wuxu Airport,22.608544,108.175335,China
Shenzhen Bao'an International Airport,22.639299,113.810997,China
Zhengzhou Xinzheng International Airport,34.526497,113.849165,China
Ezhou Huahu Airport,30.341178,115.03926,China
Wuhan Tianhe International Airport,30.774798,114.213723,China
Haikou Meilan International Airport,19.9349,110.459,China
Sanya Phoenix International Airport,18.3029,109.412003,China
Pyongyang Sunan International Airport,39.224098,125.669998,Korea North
Lanzhou Zhongchuan International Airport,36.515202,103.620003,China
Xi'an Xianyang International Airport,34.447102,108.751999,China
Ulaanbaatar Chinggis Khaan International Airport,47.646916,106.819833,Mongolia
Kunming Changshui International Airport,25.110313,102.936743,China
Xiamen Gaoqi International Airport,24.54400062561035,118.12799835205078,China
Nanchang Changbei International Airport,28.864815,115.90271,China
Fuzhou Changle International Airport,25.934669,119.66318,China
Hangzhou Xiaoshan International Airport,30.23609,120.428865,China
Jinan Yaoqiang International Airport,36.857201,117.216003,China
Ningbo Lishe International Airport,29.82670021057129,121.46199798583984,China
Nanjing Lukou International Airport,31.735032,118.865949,China
Shanghai Pudong International Airport,31.1434,121.805,China
Qingdao Jiaodong International Airport,36.361953,120.088171,China
Shanghai Hongqiao International Airport,31.198104,121.33426,China
Wenzhou Longwan International Airport,27.910572,120.853465,China
